order_number,notification_number,equipment_number,functional_location,order_type,status,priority,maintenance_activity_type,short_text,long_text,created_at_source,required_by_at,started_at,finished_at,total_cost,downtime_hours
WO-2023080,,P-101,PLANT-A/AREA-1/PUMP-1,PM,closed,high,preventive,Complete scheduled PM on Pump asset 01,Preventive maintenance completed on P-101 with no immediate defect recorded.,2023-04-09T22:00:00+00:00,2023-04-14T22:00:00+00:00,2023-04-10T07:00:00+00:00,2023-04-10T07:30:00+00:00,355.00,0.00
WO-2023081,N-910081,V-118,PLANT-A/AREA-3/VALVE-4,CM,closed,medium,corrective,Actuator failure on Valve asset 18,Actuator failure identified on V-118 during operation. Corrective work completed and asset returned to service.,2023-04-11T10:00:00+00:00,2023-04-12T10:00:00+00:00,2023-04-11T20:00:00+00:00,2023-04-12T02:30:00+00:00,3470.00,6.50
WO-2023082,N-910082,HX-135,PLANT-A/AREA-5/HEAT-EXCHANGER-7,CMON,closed,high,condition_monitoring,Tube fouling on Heat exchanger asset 35,Tube fouling identified on HX-135 during operation. Corrective work completed and asset returned to service.,2023-04-12T22:00:00+00:00,2023-04-14T22:00:00+00:00,2023-04-13T00:00:00+00:00,2023-04-13T10:00:00+00:00,3035.00,0.00
WO-2023083,N-910083,M-102,PLANT-A/AREA-2/MOTOR-1,CM,closed,high,corrective,Overheating on Motor asset 02,Overheating identified on M-102 during operation. Corrective work completed and asset returned to service.,2023-04-14T10:00:00+00:00,2023-04-17T10:00:00+00:00,2023-04-14T13:00:00+00:00,2023-04-14T15:30:00+00:00,3700.00,2.50
WO-2023084,,C-119,PLANT-A/AREA-4/COMPRESSOR-4,PM,closed,high,preventive,Complete scheduled PM on Compressor asset 19,Preventive maintenance completed on C-119 with no immediate defect recorded.,2023-04-15T22:00:00+00:00,2023-04-19T22:00:00+00:00,2023-04-16T02:00:00+00:00,2023-04-16T02:30:00+00:00,230.00,0.00
WO-2023085,N-910085,P-136,PLANT-A/AREA-1/PUMP-8,CM,closed,medium,corrective,Cavitation on Pump asset 36,Cavitation identified on P-136 during operation. Corrective work completed and asset returned to service.,2023-04-17T10:00:00+00:00,2023-04-22T10:00:00+00:00,2023-04-17T15:00:00+00:00,2023-04-18T00:30:00+00:00,3930.00,9.50
WO-2023086,,CV-103,PLANT-A/AREA-3/CONVEYOR-1,INSP,closed,medium,inspection,Inspect condition of Conveyor asset 03,Inspection completed on CV-103; observations recorded for reliability trending.,2023-04-13T23:00:00+00:00,2023-04-14T23:00:00+00:00,2023-04-14T05:00:00+00:00,2023-04-14T05:30:00+00:00,140.00,0.00
WO-2023087,N-910087,F-120,PLANT-A/AREA-5/FAN-4,EM,closed,high,emergency,Bearing failure on Fan asset 20,Bearing failure identified on F-120 during operation. Corrective work completed and asset returned to service.,2023-04-15T11:00:00+00:00,2023-04-17T11:00:00+00:00,2023-04-15T18:00:00+00:00,2023-04-15T23:30:00+00:00,5960.00,5.50
WO-2023088,,M-137,PLANT-A/AREA-2/MOTOR-8,PM,closed,medium,preventive,Complete scheduled PM on Motor asset 37,Preventive maintenance completed on M-137 with no immediate defect recorded.,2023-04-16T23:00:00+00:00,2023-04-19T23:00:00+00:00,2023-04-17T07:00:00+00:00,2023-04-17T07:30:00+00:00,330.00,0.00
WO-2023089,N-910089,C-105,PLANT-A/AREA-5/COMPRESSOR-1,CM,closed,low,corrective,High discharge temperature on Compressor asset 05,High discharge temperature identified on C-105 during operation. Corrective work completed and asset returned to service.,2023-04-18T11:00:00+00:00,2023-04-22T11:00:00+00:00,2023-04-18T20:00:00+00:00,2023-04-18T21:30:00+00:00,4390.00,1.50
WO-2023090,N-910090,P-122,PLANT-A/AREA-2/PUMP-5,CMON,closed,medium,condition_monitoring,Seal leakage on Pump asset 22,Seal leakage identified on P-122 during operation. Corrective work completed and asset returned to service.,2023-04-19T23:00:00+00:00,2023-04-24T23:00:00+00:00,2023-04-20T09:00:00+00:00,2023-04-20T14:00:00+00:00,3955.00,0.00
WO-2023091,N-910091,V-139,PLANT-A/AREA-4/VALVE-8,CM,closed,medium,corrective,Stem leakage on Valve asset 39,Stem leakage identified on V-139 during operation. Corrective work completed and asset returned to service.,2023-04-21T11:00:00+00:00,2023-04-22T11:00:00+00:00,2023-04-21T13:00:00+00:00,2023-04-21T21:30:00+00:00,4620.00,8.50
WO-2023092,N-910092,F-106,PLANT-A/AREA-1/FAN-2,CM,closed,high,corrective,Imbalance on Fan asset 06,Imbalance identified on F-106 during operation. Corrective work completed and asset returned to service.,2023-04-22T23:00:00+00:00,2023-04-24T23:00:00+00:00,2023-04-23T02:00:00+00:00,2023-04-23T14:00:00+00:00,4735.00,12.00
WO-2023093,N-910093,M-123,PLANT-A/AREA-3/MOTOR-5,CMON,closed,high,condition_monitoring,Insulation breakdown on Motor asset 23,Insulation breakdown identified on M-123 during operation. Corrective work completed and asset returned to service.,2023-04-24T11:00:00+00:00,2023-04-27T11:00:00+00:00,2023-04-24T15:00:00+00:00,2023-04-24T19:30:00+00:00,4300.00,0.00
WO-2023094,N-910094,C-140,PLANT-A/AREA-5/COMPRESSOR-8,CM,closed,low,corrective,Low capacity on Compressor asset 40,Low capacity identified on C-140 during operation. Corrective work completed and asset returned to service.,2023-04-25T23:00:00+00:00,2023-04-29T23:00:00+00:00,2023-04-26T04:00:00+00:00,2023-04-26T12:00:00+00:00,1400.00,8.00
WO-2023095,,HX-107,PLANT-A/AREA-2/HEAT-EXCHANGER-2,PM,closed,high,preventive,Complete scheduled PM on Heat exchanger asset 07,Preventive maintenance completed on HX-107 with no immediate defect recorded.,2023-04-27T11:00:00+00:00,2023-05-02T11:00:00+00:00,2023-04-27T17:00:00+00:00,2023-04-27T17:30:00+00:00,280.00,0.00
WO-2023096,N-910096,CV-124,PLANT-A/AREA-4/CONVEYOR-5,CM,closed,medium,corrective,Belt damage on Conveyor asset 24,Belt damage identified on CV-124 during operation. Corrective work completed and asset returned to service.,2023-04-28T23:00:00+00:00,2023-04-29T23:00:00+00:00,2023-04-29T06:00:00+00:00,2023-04-29T10:00:00+00:00,1630.00,4.00
WO-2023097,,F-141,PLANT-A/AREA-1/FAN-9,INSP,closed,high,inspection,Inspect condition of Fan asset 41,Inspection completed on F-141; observations recorded for reliability trending.,2023-04-30T11:00:00+00:00,2023-05-02T11:00:00+00:00,2023-04-30T19:00:00+00:00,2023-04-30T19:30:00+00:00,220.00,0.00
WO-2023098,N-910098,P-108,PLANT-A/AREA-3/PUMP-2,EM,closed,high,emergency,Bearing failure on Pump asset 08,Bearing failure identified on P-108 during operation. Corrective work completed and asset returned to service.,2023-05-01T23:00:00+00:00,2023-05-04T23:00:00+00:00,2023-05-02T08:00:00+00:00,2023-05-02T19:00:00+00:00,3660.00,11.00
WO-2023099,,V-125,PLANT-A/AREA-5/VALVE-5,PM,closed,high,preventive,Complete scheduled PM on Valve asset 25,Preventive maintenance completed on V-125 with no immediate defect recorded.,2023-05-03T11:00:00+00:00,2023-05-07T11:00:00+00:00,2023-05-03T21:00:00+00:00,2023-05-03T21:30:00+00:00,380.00,0.00
WO-2023100,N-910100,P-143,PLANT-A/AREA-3/PUMP-9,CM,closed,medium,corrective,Cavitation on Pump asset 43,Cavitation identified on P-143 during operation. Corrective work completed and asset returned to service.,2023-05-04T23:00:00+00:00,2023-05-09T23:00:00+00:00,2023-05-05T01:00:00+00:00,2023-05-05T08:00:00+00:00,2090.00,7.00
WO-2023101,N-910101,CV-110,PLANT-A/AREA-5/CONVEYOR-2,CMON,closed,medium,condition_monitoring,Pulley bearing failure on Conveyor asset 10,Pulley bearing failure identified on CV-110 during operation. Corrective work completed and asset returned to service.,2023-05-06T11:00:00+00:00,2023-05-07T11:00:00+00:00,2023-05-06T14:00:00+00:00,2023-05-07T00:30:00+00:00,1655.00,0.00
WO-2023102,N-910102,F-127,PLANT-A/AREA-2/FAN-6,CM,closed,high,corrective,Bearing failure on Fan asset 27,Bearing failure identified on F-127 during operation. Corrective work completed and asset returned to service.,2023-05-07T23:00:00+00:00,2023-05-09T23:00:00+00:00,2023-05-08T03:00:00+00:00,2023-05-08T06:00:00+00:00,2320.00,3.00
WO-2023103,,M-144,PLANT-A/AREA-4/MOTOR-9,PM,closed,medium,preventive,Complete scheduled PM on Motor asset 44,Preventive maintenance completed on M-144 with no immediate defect recorded.,2023-05-04T12:00:00+00:00,2023-05-07T12:00:00+00:00,2023-05-04T17:00:00+00:00,2023-05-04T17:30:00+00:00,255.00,0.00
WO-2023104,N-910104,V-111,PLANT-A/AREA-1/VALVE-3,CM,closed,low,corrective,Passing valve on Valve asset 11,Passing valve identified on V-111 during operation. Corrective work completed and asset returned to service.,2023-05-06T00:00:00+00:00,2023-05-10T00:00:00+00:00,2023-05-06T06:00:00+00:00,2023-05-06T16:00:00+00:00,2550.00,10.00
WO-2023105,N-910105,HX-128,PLANT-A/AREA-3/HEAT-EXCHANGER-6,CM,closed,medium,corrective,Low heat transfer on Heat exchanger asset 28,Low heat transfer identified on HX-128 during operation. Corrective work completed and asset returned to service.,2023-05-07T12:00:00+00:00,2023-05-12T12:00:00+00:00,2023-05-07T19:00:00+00:00,2023-05-07T21:30:00+00:00,2665.00,2.50
WO-2023106,,CV-145,PLANT-A/AREA-5/CONVEYOR-9,PM,closed,low,preventive,Complete scheduled PM on Conveyor asset 45,Preventive maintenance completed on CV-145 with no immediate defect recorded.,2023-05-09T00:00:00+00:00,2023-05-10T00:00:00+00:00,2023-05-09T08:00:00+00:00,2023-05-09T08:30:00+00:00,330.00,0.00
WO-2023107,N-910107,C-112,PLANT-A/AREA-2/COMPRESSOR-3,CM,closed,high,corrective,High discharge temperature on Compressor asset 12,High discharge temperature identified on C-112 during operation. Corrective work completed and asset returned to service.,2023-05-10T12:00:00+00:00,2023-05-12T12:00:00+00:00,2023-05-10T21:00:00+00:00,2023-05-11T06:30:00+00:00,2895.00,9.50
WO-2023108,,P-129,PLANT-A/AREA-4/PUMP-6,INSP,closed,high,inspection,Inspect condition of Pump asset 29,Inspection completed on P-129; observations recorded for reliability trending.,2023-05-12T00:00:00+00:00,2023-05-15T00:00:00+00:00,2023-05-12T10:00:00+00:00,2023-05-12T10:30:00+00:00,160.00,0.00
WO-2023109,N-910109,V-146,PLANT-A/AREA-1/VALVE-10,EM,closed,low,emergency,Stem leakage on Valve asset 46,Stem leakage identified on V-146 during operation. Corrective work completed and asset returned to service.,2023-05-13T12:00:00+00:00,2023-05-17T12:00:00+00:00,2023-05-13T14:00:00+00:00,2023-05-13T19:30:00+00:00,4925.00,5.50
WO-2023110,,F-113,PLANT-A/AREA-3/FAN-3,PM,closed,high,preventive,Complete scheduled PM on Fan asset 13,Preventive maintenance completed on F-113 with no immediate defect recorded.,2023-05-15T00:00:00+00:00,2023-05-20T00:00:00+00:00,2023-05-15T03:00:00+00:00,2023-05-15T03:30:00+00:00,205.00,0.00
WO-2023111,N-910111,CV-131,PLANT-A/AREA-1/CONVEYOR-7,CM,closed,medium,corrective,Belt damage on Conveyor asset 31,Belt damage identified on CV-131 during operation. Corrective work completed and asset returned to service.,2023-05-16T12:00:00+00:00,2023-05-17T12:00:00+00:00,2023-05-16T16:00:00+00:00,2023-05-16T17:30:00+00:00,3355.00,1.50
WO-2023112,N-910112,F-148,PLANT-A/AREA-3/FAN-10,CMON,closed,high,condition_monitoring,Belt slippage on Fan asset 48,Belt slippage identified on F-148 during operation. Corrective work completed and asset returned to service.,2023-05-18T00:00:00+00:00,2023-05-20T00:00:00+00:00,2023-05-18T05:00:00+00:00,2023-05-18T10:00:00+00:00,2920.00,0.00
WO-2023113,N-910113,P-115,PLANT-A/AREA-5/PUMP-3,CM,closed,high,corrective,Bearing failure on Pump asset 15,Bearing failure identified on P-115 during operation. Corrective work completed and asset returned to service.,2023-05-19T12:00:00+00:00,2023-05-22T12:00:00+00:00,2023-05-19T18:00:00+00:00,2023-05-20T02:30:00+00:00,3585.00,8.50
WO-2023114,,V-132,PLANT-A/AREA-2/VALVE-7,PM,closed,high,preventive,Complete scheduled PM on Valve asset 32,Preventive maintenance completed on V-132 with no immediate defect recorded.,2023-05-21T00:00:00+00:00,2023-05-25T00:00:00+00:00,2023-05-21T07:00:00+00:00,2023-05-21T07:30:00+00:00,305.00,0.00
WO-2023115,N-910115,HX-149,PLANT-A/AREA-4/HEAT-EXCHANGER-10,CM,closed,medium,corrective,Tube fouling on Heat exchanger asset 49,Tube fouling identified on HX-149 during operation. Corrective work completed and asset returned to service.,2023-05-22T12:00:00+00:00,2023-05-27T12:00:00+00:00,2023-05-22T20:00:00+00:00,2023-05-23T00:30:00+00:00,3815.00,4.50
WO-2023116,,M-116,PLANT-A/AREA-1/MOTOR-4,INSP,closed,medium,inspection,Inspect condition of Motor asset 16,Inspection completed on M-116; observations recorded for reliability trending.,2023-05-24T00:00:00+00:00,2023-05-25T00:00:00+00:00,2023-05-24T09:00:00+00:00,2023-05-24T09:30:00+00:00,180.00,0.00
WO-2023117,N-910117,C-133,PLANT-A/AREA-3/COMPRESSOR-7,EM,closed,high,emergency,Oil carryover on Compressor asset 33,Oil carryover identified on C-133 during operation. Corrective work completed and asset returned to service.,2023-05-25T12:00:00+00:00,2023-05-27T12:00:00+00:00,2023-05-25T22:00:00+00:00,2023-05-26T09:30:00+00:00,5845.00,11.50
WO-2023118,N-910118,P-150,PLANT-A/AREA-5/PUMP-10,CM,closed,high,corrective,Cavitation on Pump asset 50,Cavitation identified on P-150 during operation. Corrective work completed and asset returned to service.,2023-05-27T00:00:00+00:00,2023-05-30T00:00:00+00:00,2023-05-27T02:00:00+00:00,2023-05-27T06:00:00+00:00,4160.00,4.00
WO-2023119,,CV-117,PLANT-A/AREA-2/CONVEYOR-4,INSP,closed,low,inspection,Inspect condition of Conveyor asset 17,Inspection completed on CV-117; observations recorded for reliability trending.,2023-05-28T12:00:00+00:00,2023-06-01T12:00:00+00:00,2023-05-28T15:00:00+00:00,2023-05-28T15:30:00+00:00,240.00,0.00
WO-2023120,N-910120,F-134,PLANT-A/AREA-4/FAN-7,EM,closed,medium,emergency,Bearing failure on Fan asset 34,Bearing failure identified on F-134 during operation. Corrective work completed and asset returned to service.,2023-05-25T01:00:00+00:00,2023-05-30T01:00:00+00:00,2023-05-25T05:00:00+00:00,2023-05-25T16:00:00+00:00,6190.00,11.00
WO-2023121,,P-101,PLANT-A/AREA-1/PUMP-1,PM,closed,low,preventive,Complete scheduled PM on Pump asset 01,Preventive maintenance completed on P-101 with no immediate defect recorded.,2023-05-26T13:00:00+00:00,2023-05-27T13:00:00+00:00,2023-05-26T18:00:00+00:00,2023-05-26T18:30:00+00:00,255.00,0.00
WO-2023122,N-910122,C-119,PLANT-A/AREA-4/COMPRESSOR-4,CM,closed,high,corrective,High discharge temperature on Compressor asset 19,High discharge temperature identified on C-119 during operation. Corrective work completed and asset returned to service.,2023-05-28T01:00:00+00:00,2023-05-30T01:00:00+00:00,2023-05-28T07:00:00+00:00,2023-05-28T14:00:00+00:00,4620.00,7.00
WO-2023123,N-910123,P-136,PLANT-A/AREA-1/PUMP-8,CMON,closed,high,condition_monitoring,Seal leakage on Pump asset 36,Seal leakage identified on P-136 during operation. Corrective work completed and asset returned to service.,2023-05-29T13:00:00+00:00,2023-06-01T13:00:00+00:00,2023-05-29T20:00:00+00:00,2023-05-30T06:30:00+00:00,4185.00,0.00
WO-2023124,N-910124,CV-103,PLANT-A/AREA-3/CONVEYOR-1,CM,closed,low,corrective,Belt mistracking on Conveyor asset 03,Belt mistracking identified on CV-103 during operation. Corrective work completed and asset returned to service.,2023-05-31T01:00:00+00:00,2023-06-04T01:00:00+00:00,2023-05-31T09:00:00+00:00,2023-05-31T12:00:00+00:00,4850.00,3.00
WO-2023125,,F-120,PLANT-A/AREA-5/FAN-4,PM,closed,high,preventive,Complete scheduled PM on Fan asset 20,Preventive maintenance completed on F-120 with no immediate defect recorded.,2023-06-01T13:00:00+00:00,2023-06-06T13:00:00+00:00,2023-06-01T22:00:00+00:00,2023-06-01T22:30:00+00:00,355.00,0.00
WO-2023126,N-910126,M-137,PLANT-A/AREA-2/MOTOR-8,CM,closed,medium,corrective,Insulation breakdown on Motor asset 37,Insulation breakdown identified on M-137 during operation. Corrective work completed and asset returned to service.,2023-06-03T01:00:00+00:00,2023-06-04T01:00:00+00:00,2023-06-03T11:00:00+00:00,2023-06-03T21:00:00+00:00,1515.00,10.00
WO-2023127,,V-104,PLANT-A/AREA-4/VALVE-1,INSP,closed,high,inspection,Inspect condition of Valve asset 04,Inspection completed on V-104; observations recorded for reliability trending.,2023-06-04T13:00:00+00:00,2023-06-06T13:00:00+00:00,2023-06-04T15:00:00+00:00,2023-06-04T15:30:00+00:00,120.00,0.00
WO-2023128,N-910128,HX-121,PLANT-A/AREA-1/HEAT-EXCHANGER-5,EM,closed,high,emergency,Tube leak on Heat exchanger asset 21,Tube leak identified on HX-121 during operation. Corrective work completed and asset returned to service.,2023-06-06T01:00:00+00:00,2023-06-09T01:00:00+00:00,2023-06-06T04:00:00+00:00,2023-06-06T10:00:00+00:00,3545.00,6.00
WO-2023129,,CV-138,PLANT-A/AREA-3/CONVEYOR-8,PM,closed,high,preventive,Complete scheduled PM on Conveyor asset 38,Preventive maintenance completed on CV-138 with no immediate defect recorded.,2023-06-07T13:00:00+00:00,2023-06-11T13:00:00+00:00,2023-06-07T17:00:00+00:00,2023-06-07T17:30:00+00:00,230.00,0.00
WO-2023130,N-910130,C-105,PLANT-A/AREA-5/COMPRESSOR-1,CM,closed,medium,corrective,Low capacity on Compressor asset 05,Low capacity identified on C-105 during operation. Corrective work completed and asset returned to service.,2023-06-09T01:00:00+00:00,2023-06-14T01:00:00+00:00,2023-06-09T06:00:00+00:00,2023-06-09T08:00:00+00:00,1975.00,2.00
WO-2023131,N-910131,P-122,PLANT-A/AREA-2/PUMP-5,EM,closed,medium,emergency,Bearing failure on Pump asset 22,Bearing failure identified on P-122 during operation. Corrective work completed and asset returned to service.,2023-06-10T13:00:00+00:00,2023-06-11T13:00:00+00:00,2023-06-10T19:00:00+00:00,2023-06-11T00:30:00+00:00,3890.00,5.50
WO-2023132,,V-139,PLANT-A/AREA-4/VALVE-8,PM,closed,medium,preventive,Complete scheduled PM on Valve asset 39,Preventive maintenance completed on V-139 with no immediate defect recorded.,2023-06-12T01:00:00+00:00,2023-06-14T01:00:00+00:00,2023-06-12T08:00:00+00:00,2023-06-12T08:30:00+00:00,305.00,0.00
WO-2023133,N-910133,HX-107,PLANT-A/AREA-2/HEAT-EXCHANGER-2,CM,closed,high,corrective,Tube fouling on Heat exchanger asset 07,Tube fouling identified on HX-107 during operation. Corrective work completed and asset returned to service.,2023-06-13T13:00:00+00:00,2023-06-16T13:00:00+00:00,2023-06-13T21:00:00+00:00,2023-06-13T22:30:00+00:00,2320.00,1.50
WO-2023134,N-910134,CV-124,PLANT-A/AREA-4/CONVEYOR-5,CMON,closed,low,condition_monitoring,Pulley bearing failure on Conveyor asset 24,Pulley bearing failure identified on CV-124 during operation. Corrective work completed and asset returned to service.,2023-06-15T01:00:00+00:00,2023-06-19T01:00:00+00:00,2023-06-15T10:00:00+00:00,2023-06-15T15:00:00+00:00,1885.00,0.00
WO-2023135,N-910135,F-141,PLANT-A/AREA-1/FAN-9,CM,closed,medium,corrective,Bearing failure on Fan asset 41,Bearing failure identified on F-141 during operation. Corrective work completed and asset returned to service.,2023-06-16T13:00:00+00:00,2023-06-21T13:00:00+00:00,2023-06-16T23:00:00+00:00,2023-06-17T07:30:00+00:00,2550.00,8.50
WO-2023136,,P-108,PLANT-A/AREA-3/PUMP-2,PM,closed,low,preventive,Complete scheduled PM on Pump asset 08,Preventive maintenance completed on P-108 with no immediate defect recorded.,2023-06-18T01:00:00+00:00,2023-06-19T01:00:00+00:00,2023-06-18T03:00:00+00:00,2023-06-18T03:30:00+00:00,180.00,0.00
